class,AUC_ROC
class_0,0.863653
class_1,0.940609
class_2,0.888492
class_3,0.959309
class_4,0.934412
class_5,0.874724
class_6,0.900232
class_7,0.883524
class_8,0.933118
class_9,0.941895
class_10,0.916581
class_11,0.890804
class_12,0.899149
class_13,0.880707
class_14,0.977319
class_15,0.858011
class_16,0.970670
class_17,0.956415
class_18,0.923358
class_19,0.959360
class_20,0.897964
class_21,0.915198
class_22,0.879054
class_23,0.958459
class_24,0.901073
class_25,0.964138
class_26,0.931203
class_27,0.876260
class_28,0.891255
class_29,0.943810
micro,0.918151
macro,0.917010
